__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.0/values.0,/dynamic_joint_states/interface_values.0/values.1,/dynamic_joint_states/interface_values.0/values.2,/dynamic_joint_states/interface_values.0/values.3,/dynamic_joint_states/interface_values.0/values.4,/dynamic_joint_states/interface_values.0/values.5,/dynamic_joint_states/interface_values.0/values.6,/dynamic_joint_states/interface_values.0/values.7,/dynamic_joint_states/interface_values.0/values.8,/dynamic_joint_states/interface_values.0/values.9,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.2,/dynamic_joint_states/interface_values.2/values.3,/dynamic_joint_states/interface_values.2/values.4,/dynamic_joint_states/interface_values.2/values.5,/dynamic_joint_states/interface_values.2/values.6,/dynamic_joint_states/interface_values.2/values.7,/dynamic_joint_states/interface_values.2/values.8,/dynamic_joint_states/interface_values.2/values.9,/dynamic_joint_states/interface_values.3/values.0,/dynamic_joint_states/interface_values.3/values.1,/dynamic_joint_states/interface_values.3/values.2,/dynamic_joint_states/interface_values.4/values.0,/dynamic_joint_states/interface_values.4/values.1,/dynamic_joint_states/interface_values.4/values.2,Acceleration,Current (Input),Current (Motor),ERPM,Voltage
1662034738.889129,1662034738.889129,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.898673,-0.140592,-0.654055,0.183105,2.014160,0.003785,-0.004445,-0.608044,0.305176,0.793882,0.000488,0.014160,1.019531,-9.082031,26.953125,34.570313,0.000488,0.000000,0.000000,-1.000000,12.000000
1662034738.899006,1662034738.899006,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.878401,-0.133958,-0.557815,0.732422,2.136230,0.003154,-0.003887,-0.607907,0.061035,0.793992,0.000977,0.004395,1.016602,-9.082031,26.953125,34.570313,0.000977,0.000000,0.000000,0.000000,11.900000
1662034738.899006,1662034738.899006,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.878401,-0.133958,-0.557815,0.732422,2.136230,0.003154,-0.003887,-0.607907,0.061035,0.793992,0.000977,0.004395,1.016602,-9.082031,26.953125,34.570313,0.000977,0.000000,0.000000,0.000000,11.900000
1662034738.909028,1662034738.909028,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.855895,-0.133760,-0.579521,0.488281,2.075195,0.003307,-0.004001,-0.607750,0.366211,0.794111,0.002930,0.009766,1.013184,-9.082031,26.953125,34.570313,0.002930,0.000000,0.000000,0.000000,11.900000
1662034738.909028,1662034738.909028,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.855895,-0.133760,-0.579521,0.488281,2.075195,0.003307,-0.004001,-0.607750,0.366211,0.794111,0.002930,0.009766,1.013184,-9.082031,26.953125,34.570313,0.002930,0.000000,0.000000,0.000000,11.900000
1662034738.918998,1662034738.918998,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.836265,-0.096849,-0.602626,-0.061035,1.770020,0.003663,-0.003867,-0.607615,0.305176,0.794214,0.003418,0.014648,1.014648,-8.789063,26.660156,34.277344,0.003418,0.000000,0.000000,0.000000,12.000000
1662034738.918998,1662034738.918998,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.836265,-0.096849,-0.602626,-0.061035,1.770020,0.003663,-0.003867,-0.607615,0.305176,0.794214,0.003418,0.014648,1.014648,-8.789063,26.660156,34.277344,0.003418,0.000000,0.000000,0.000000,12.000000
1662034738.929069,1662034738.929069,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.807517,-0.098429,-0.612335,0.488281,1.892090,0.003723,-0.003928,-0.607415,0.427246,0.794366,0.001953,0.012207,1.012695,-8.789063,26.660156,34.277344,0.001953,0.000000,0.000000,0.000000,11.900000
1662034738.929069,1662034738.929069,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.807517,-0.098429,-0.612335,0.488281,1.892090,0.003723,-0.003928,-0.607415,0.427246,0.794366,0.001953,0.012207,1.012695,-8.789063,26.660156,34.277344,0.001953,0.000000,0.000000,0.000000,11.900000
1662034738.939050,1662034738.939050,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.788195,-0.149906,-0.694327,0.000000,1.831055,0.004019,-0.004719,-0.607276,0.366211,0.794467,0.003906,0.013184,1.012207,-8.789063,26.660156,34.277344,0.003906,0.000000,0.000000,-1.000000,12.000000
1662034738.939050,1662034738.939050,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.788195,-0.149906,-0.694327,0.000000,1.831055,0.004019,-0.004719,-0.607276,0.366211,0.794467,0.003906,0.013184,1.012207,-8.789063,26.660156,34.277344,0.003906,0.000000,0.000000,-1.000000,12.000000
1662034738.949035,1662034738.949035,-2.000000,-0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.778578,-0.188967,-0.666555,0.732422,1.831055,0.003620,-0.004842,-0.607209,0.366211,0.794519,0.005371,0.010254,1.018555,-8.789063,26.660156,34.277344,0.005371,0.000000,0.000000,-2.000000,12.000000
1662034738.949035,1662034738.949035,-2.000000,-0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.778578,-0.188967,-0.666555,0.732422,1.831055,0.003620,-0.004842,-0.607209,0.366211,0.794519,0.005371,0.010254,1.018555,-8.789063,26.660156,34.277344,0.005371,0.000000,0.000000,-2.000000,12.000000
1662034738.959023,1662034738.959023,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.749058,-0.149554,-0.639665,0.061035,2.014160,0.003644,-0.004426,-0.607007,0.427246,0.794676,0.001953,0.012695,1.015137,-9.082031,26.953125,34.570313,0.001953,0.000000,0.000000,-1.000000,11.900000
1662034738.959023,1662034738.959023,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.749058,-0.149554,-0.639665,0.061035,2.014160,0.003644,-0.004426,-0.607007,0.427246,0.794676,0.001953,0.012695,1.015137,-9.082031,26.953125,34.570313,0.001953,0.000000,0.000000,-1.000000,11.900000
1662034738.969004,1662034738.969004,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.728738,-0.151631,-0.548466,0.549316,1.831055,0.003001,-0.003956,-0.606869,0.122070,0.794786,0.002930,0.009277,1.021973,-9.082031,26.953125,34.570313,0.002930,0.000000,0.000000,-1.000000,11.900000
